fips	Anger	Anxiety	NegEmotions	NegEngagement	NegEngNoTired	NegRelations	NegRelNoHate	PosEmotions	PosEngagement	PosRelations	PosRelNoLove
1001	0.0112771907720795	0.002133264610715	0.00223348509578215	0.00112151495194189	0.000725405415724117	0.0020187269134954	0.00087334994129943	0.00549303706248986	0.000787446668384732	0.00784105985549161	0.00488694174803616
1003	0.00731786455385776	0.00205395208451236	0.00212035465006603	0.000849651009243539	0.000562912657989059	0.00132956046029051	0.000739483116393133	0.00669911337483494	0.00105036785512168	0.00751556310130164	0.00485191473306923
1009	0.00496457689251541	0.00150573246706419	0.00145231402033907	0.000524168508490194	0.000393961044597726	0.00120859235715573	0.000794599395036091	0.00336202349076195	0.000784583436275132	0.00589272240436429	0.00379938702332383
1013	0.0130592579678907	0.00283690191292771	0.00251992963215367	0.00147392110559932	0.000950916842322139	0.00193353091272168	0.00104600852655435	0.0040730938079465	0.000776582087896414	0.00706848186126123	0.00421573133429482
1015	0.0108985065711816	0.00216800797675238	0.00232128550863648	0.00119777700173346	0.000840656154250923	0.00170501501961794	0.000897542660929557	0.00448455294316564	0.00087383994981346	0.00757380629196368	0.00472474041580876
1017	0.0105807882456221	0.00233331793189484	0.00228711361641177	0.00179041722496881	0.00136302730675045	0.00196368340803031	0.000993392782885922	0.00523263872845724	0.000727717968858291	0.00825902139259807	0.00499006607217114
1021	0.00677775521996471	0.00157731169865538	0.00209267096653288	0.000983867693220683	0.000671528742991895	0.00148361001358674	0.000812081270594849	0.0048724876235691	0.00106195243077788	0.00724626364530789	0.00452891477831743
1025	0.00985052506009724	0.00278345111789904	0.00211469987528693	0.00133750248522421	0.00104831275868925	0.00173513835920979	0.000777197390062718	0.00451858947710883	0.000668751242612106	0.00786234569016936	0.00478970484573536
1031	0.00793577325400365	0.0032988580228732	0.00197763172289593	0.00106034722163782	0.000723729056038509	0.00161576719487667	0.000959361771958024	0.00669028604128622	0.00102668540507789	0.00753183145528448	0.00467899250183036
1033	0.00914332125299188	0.0021781532460021	0.00220891812235807	0.0011321474498994	0.000781427859441433	0.00176590390283221	0.000879875463780511	0.00490392129114033	0.000966017117577204	0.00798040892673652	0.00491622724168272
1039	0.00983468298156712	0.00189403414979309	0.00200124362997005	0.00131510295683746	0.000836233945380343	0.00168676248811762	0.000886265036129595	0.0042240535189725	0.000729024465203376	0.00708297299035829	0.00420261162293711
1043	0.00753255709094767	0.00234729331883404	0.0021881547887436	0.0010808158501976	0.000736015701668302	0.00147866217542371	0.000808954194626422	0.00629923348274673	0.00090841577593295	0.00842108055061931	0.00529135612550725
1045	0.0112922719624618	0.00233428916747636	0.00265421712444013	0.00144560039813257	0.0010308789724388	0.00157594141763632	0.000876839585752542	0.00453823731544897	0.000853141218570041	0.00860250728724791	0.00603123444794654
1047	0.0125423955233296	0.00328031882917851	0.0023600483884135	0.00148430716252421	0.00097964272726598	0.00176632552340381	0.000853476618451422	0.00417832466250566	0.000675359758948517	0.00699108673548904	0.00408926623275421
